timestamp,window_size,packet_count,byte_count,packets_per_second,bytes_per_second,flow_duration,inter_arrival_mean,inter_arrival_variance,forward_ratio,syn_ratio,rst_ratio,src_ip,dst_ip,dst_port,protocol,direction,Label
1772757471.584766,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,49931,L4Protocol.TCP,-1,FullScan
1772758090.764531,10,14,886,1.4,88.6,8.9058678150177,0.6850667550013615,0.8370748312714905,1.0,0.0,0.0,172.16.241.161,8.8.4.4,53,L4Protocol.UDP,1,FullScan
1772756935.9857094,10,14,994,1.4,99.4,9.728821516036987,0.7483708858489989,0.5582382801923416,1.0,0.0,0.0,172.16.241.161,8.8.8.8,53,L4Protocol.UDP,1,FullScan
1772756984.475701,10,13,2145,1.3,214.5,6.500004053115845,0.5416670044263204,1.0947771268366386,1.0,0.0,0.0,172.16.241.161,239.255.255.250,1900,L4Protocol.UDP,1,FullScan
1772756992.060501,10,4,316,0.4,31.6,1.3729186058044434,0.4576395352681477,0.0342613868243878,1.0,0.0,0.0,52.175.140.176,172.16.241.161,443,L4Protocol.TCP,-1,FullScan
1772757808.292343,10,3,495,0.3,49.5,3.0015528202056885,1.5007764101028442,4.504659666242361,1.0,0.0,0.0,172.16.241.161,239.255.255.250,1900,L4Protocol.UDP,1,FullScan
1772757588.694254,10,30,1866,3.0,186.6,9.076831579208374,0.3129941923864957,0.258255909783183,1.0,0.0,0.0,172.16.241.161,8.8.8.8,53,L4Protocol.UDP,1,FullScan
1772758874.4253254,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,61074,L4Protocol.TCP,-1,FullScan
1772758446.3237944,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,58637,L4Protocol.TCP,-1,FullScan
1772758235.954497,10,6,403,0.6,40.3,8.468443155288696,1.6936886310577393,1.8591913028509168,1.0,0.0,0.0,172.16.241.161,8.8.8.8,53,L4Protocol.UDP,1,FullScan
1772756949.6270878,10,11,692,1.1,69.2,4.839650869369507,0.4839650869369507,0.3888815265778355,1.0,0.0,0.0,172.16.241.161,4.213.25.242,443,L4Protocol.TCP,1,FullScan
1772757601.7406883,10,23,1514,2.3,151.4,9.9669291973114,0.4530422362414273,0.296327432144669,1.0,0.0,0.0,172.16.241.161,8.8.4.4,53,L4Protocol.UDP,1,FullScan
1772758798.3460472,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,60652,L4Protocol.TCP,-1,FullScan
1772757843.5688994,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,61470,L4Protocol.TCP,-1,FullScan
