timestamp,window_size,packet_count,byte_count,packets_per_second,bytes_per_second,flow_duration,inter_arrival_mean,inter_arrival_variance,forward_ratio,syn_ratio,rst_ratio,src_ip,dst_ip,dst_port,protocol,direction,Label
1772704159.7143989,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,58948,L4Protocol.TCP,-1,SynFlood
1772704079.0860314,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,28800,L4Protocol.TCP,-1,SynFlood
1772704408.656929,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,5237,L4Protocol.TCP,-1,SynFlood
1772704523.2032578,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,16948,L4Protocol.TCP,-1,SynFlood
1772703793.2248406,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,62135,L4Protocol.TCP,-1,SynFlood
1772704481.4630768,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,4290,L4Protocol.TCP,-1,SynFlood
1772704684.6693969,10,7,490,0.7,49.0,7.0504231452941895,1.1750705242156982,1.883805371670064,1.0,0.0,0.0,172.16.241.161,8.8.8.8,53,L4Protocol.UDP,1,SynFlood
1772703952.519034,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,10150,L4Protocol.TCP,-1,SynFlood
1772704001.4633844,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,28014,L4Protocol.TCP,-1,SynFlood
1772704031.1399877,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,13881,L4Protocol.TCP,-1,SynFlood
1772704426.0848825,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,46472,L4Protocol.TCP,-1,SynFlood
1772703890.157836,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,43872,L4Protocol.TCP,-1,SynFlood
1772704313.7792394,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,53317,L4Protocol.TCP,-1,SynFlood
1772703916.1751215,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,6339,L4Protocol.TCP,-1,SynFlood
1772704083.8884978,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,64251,L4Protocol.TCP,-1,SynFlood
1772704532.4639866,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,23128,L4Protocol.TCP,-1,SynFlood
1772704370.6607294,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,50249,L4Protocol.TCP,-1,SynFlood
1772704541.5837824,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,44165,L4Protocol.TCP,-1,SynFlood
1772704462.8644097,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,4333,L4Protocol.TCP,-1,SynFlood
1772703992.9298356,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,1816,L4Protocol.TCP,-1,SynFlood
1772704486.971676,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,14588,L4Protocol.TCP,-1,SynFlood
1772703859.3517797,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,46310,L4Protocol.TCP,-1,SynFlood
1772704020.01478,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,58505,L4Protocol.TCP,-1,SynFlood
1772703831.9840944,10,36,2387,3.6,238.7,9.409099340438845,0.268831409726824,0.1229154002932457,1.0,0.0,0.0,172.16.241.161,8.8.8.8,53,L4Protocol.UDP,1,SynFlood
1772704534.700335,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,45334,L4Protocol.TCP,-1,SynFlood
1772704472.1064806,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,47431,L4Protocol.TCP,-1,SynFlood
1772704203.7014244,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,32359,L4Protocol.TCP,-1,SynFlood
1772704098.7010703,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,17899,L4Protocol.TCP,-1,SynFlood
1772703886.9357457,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,26145,L4Protocol.TCP,-1,SynFlood
1772704114.2228656,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,8032,L4Protocol.TCP,-1,SynFlood
1772704192.9049842,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,17894,L4Protocol.TCP,-1,SynFlood
1772704569.1592422,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,172.16.241.169,172.16.241.161,45411,L4Protocol.TCP,-1,SynFlood
