timestamp,window_size,src_ip,packet_count,packets_per_second,unique_dst_ips,unique_dst_ports,port_entropy,connection_attempts,connections_per_second,failed_connection_ratio,syn_ratio,rst_ratio,mean_flow_duration,Label
1772767545.1734664,10,42.114.77.145,472,47.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767554.5909488,10,42.119.208.15,5030,503.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703453.1069791,10,172.16.241.81,74,7.4,42,5,1.347823722936604,53,5.3,0.0,0.7162162162162162,0.0,0.0,Benign
1772768084.4587903,10,172.16.241.161,33,3.3,9,1,0.0,1,0.1,0.0,0.0303030303030303,0.0,2.535292267799377,Benign
1772767955.7613783,10,49.213.114.50,6,0.6,1,1,0.0,0,0.0,0.0,0.1666666666666666,0.0,0.0,Benign
1772767246.365913,10,23.202.89.75,2105,210.5,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767134.9962518,10,13.107.5.93,16,1.6,1,1,0.0,0,0.0,0.0,0.0625,0.0,0.0,Benign
1772768061.4853778,10,172.16.241.161,80,8.0,6,1,0.0,1,0.1,0.0,0.0125,0.0,3.1152119636535645,Benign
1772767419.1417902,10,42.114.77.145,2213,221.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703245.5354528,10,172.16.241.81,73,7.3,40,5,1.548935876835653,45,4.5,0.0,0.6164383561643836,0.0,0.0,Benign
1772704098.0285645,10,172.16.241.81,69,6.9,36,5,1.5026632423159594,45,4.5,0.0,0.6521739130434783,0.0,0.0,Benign
1772701963.4621935,10,172.16.241.81,29,2.9,7,4,1.0746314749738703,0,0.0,0.0,0.0,0.0,0.0,Benign
1772704492.7681394,10,172.16.241.81,141,14.1,76,5,1.6020162273422436,42,4.2,0.0,0.2978723404255319,0.0,0.0,Benign
1772703913.7021394,10,172.16.241.81,121,12.1,42,5,1.409144732282699,70,7.0,0.0,0.5785123966942148,0.0,0.0,Benign
1772702800.9063232,10,172.16.241.81,108,10.8,44,5,1.6371826527759,65,6.5,0.0,0.6018518518518519,0.0,0.0,Benign
1772768061.528618,10,172.16.241.161,119,11.9,6,1,0.0,1,0.1,0.0,0.0084033613445378,0.0,3.1152119636535645,Benign
1772767064.472875,10,23.202.89.75,2371,237.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768069.4352665,10,14.238.122.109,874,87.4,1,1,0.0,0,0.0,0.0,0.0011441647597254,0.0,0.0,Benign
1772703919.2086527,10,172.16.241.81,113,11.3,42,5,1.7352422057424697,59,5.9,0.0,0.5221238938053098,0.0,0.0,Benign
1772767092.9868264,10,118.68.95.213,1521,152.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767955.337898,10,14.225.216.133,175,17.5,1,1,0.0,0,0.0,0.0,0.0057142857142857,0.0,0.0,Benign
1772768220.381578,10,52.107.14.55,193,19.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768173.7866597,10,52.107.14.55,3001,300.1,1,1,0.0,0,0.0,0.0,0.0113295568143952,0.0,0.0,Benign
1772768165.1709237,10,52.107.14.55,269,26.9,1,1,0.0,0,0.0,0.0,0.1078066914498141,0.0,0.0,Benign
1772704390.7670586,10,172.16.241.81,57,5.7,22,6,1.7027098569589576,36,3.6,0.0,0.631578947368421,0.0,0.0,Benign
1772768004.8770127,10,172.16.241.161,36,3.6,10,2,0.1831220683013727,2,0.2,0.5,0.0555555555555555,0.0277777777777777,3.339908599853516,Benign
1772702731.9386537,10,172.16.241.81,105,10.5,41,5,1.481612545801939,61,6.1,0.0,0.580952380952381,0.0,0.0,Benign
1772767946.7381518,10,172.16.241.161,158,15.8,9,2,0.1703305756010598,12,1.2,0.0,0.0759493670886076,0.0,1.17897629737854,Benign
1772703928.7909088,10,172.16.241.81,110,11.0,40,5,1.2498653310578065,80,8.0,0.0,0.7272727272727273,0.0,0.0,Benign
1772703815.2927225,10,172.16.241.81,91,9.1,43,5,1.5629706326788724,43,4.3,0.0,0.4725274725274725,0.0,1.9589158296585083,Benign
1772704181.7301226,10,172.16.241.81,89,8.9,40,5,1.4021178299307784,60,6.0,0.0,0.6741573033707865,0.0,0.0,Benign
1772763895.4122715,10,172.16.241.161,259,25.9,15,2,0.9419113184331314,170,17.0,0.0117647058823529,0.6563706563706564,0.0077220077220077,9.513452172279358,Benign
1772702021.6807747,10,172.16.241.81,34,3.4,12,2,0.833764907210665,24,2.4,0.0,0.7058823529411765,0.0,0.0,Benign
1772768069.6955652,10,14.238.122.109,1415,141.5,1,1,0.0,0,0.0,0.0,0.0007067137809187,0.0,0.0,Benign
1772767235.9690876,10,23.202.89.65,2111,211.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703673.0049262,10,172.16.241.81,82,8.2,44,5,1.379113814403112,52,5.2,0.0,0.6341463414634146,0.0,0.0,Benign
1772767428.3822827,10,172.16.241.169,1386,138.6,22,2,0.1260931686236865,13,1.3,0.6153846153846154,0.0093795093795093,0.0057720057720057,6.059651374816895,Benign
1772768006.8470302,10,172.16.241.161,59,5.9,13,1,0.0,3,0.3,0.0,0.0508474576271186,0.0169491525423728,3.114621639251709,Benign
1772702566.5218084,10,172.16.241.81,60,6.0,16,6,1.9404480109897635,25,2.5,0.0,0.4166666666666667,0.0,0.0,Benign
1772767325.616075,10,23.202.89.75,2363,236.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768166.2617786,10,52.107.14.55,1221,122.1,1,1,0.0,0,0.0,0.0,0.0278460278460278,0.0,0.0,Benign
1772768172.9204843,10,52.107.14.55,2462,246.2,1,1,0.0,0,0.0,0.0,0.0138099106417546,0.0,0.0,Benign
1772702494.925202,10,172.16.241.81,60,6.0,22,6,1.79235413637374,39,3.9,0.0,0.65,0.0,0.0,Benign
1772767550.3299837,10,42.114.77.145,970,97.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772702442.0424466,10,172.16.241.81,85,8.5,40,5,1.6685941104124076,47,4.7,0.0,0.5529411764705883,0.0,0.0,Benign
1772767475.5859585,10,42.119.208.80,1337,133.7,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767153.8943243,10,23.202.89.91,29,2.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767038.0779502,10,23.202.89.75,853,85.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772702149.2489402,10,172.16.241.81,128,12.8,50,5,0.9788983467628408,95,9.5,0.0,0.7421875,0.0,5.323987483978272,Benign
1772704259.8006458,10,172.16.241.81,70,7.0,42,5,1.5165603008724982,45,4.5,0.0,0.6428571428571429,0.0,0.0,Benign
1772704243.4830887,10,172.16.241.81,77,7.7,44,5,1.3775767046398262,54,5.4,0.0,0.7012987012987013,0.0,0.0,Benign
1772767380.2152712,10,172.16.241.161,488,48.8,15,2,0.0212540024520242,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703151.418661,10,172.16.241.81,77,7.7,40,5,1.433279188310821,52,5.2,0.0,0.6753246753246753,0.0,0.0,Benign
1772768183.6222792,10,172.16.241.161,352,35.2,9,1,0.0,1,0.1,0.0,0.002840909090909,0.0,0.0,Benign
1772767451.5112658,10,23.202.89.75,554,55.4,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703629.2338362,10,172.16.241.81,137,13.7,49,6,1.245415124799386,85,8.5,0.0117647058823529,0.6204379562043796,0.0072992700729927,2.446830320358276,Benign
1772704621.2139003,10,172.16.241.81,93,9.3,38,5,1.1583479555034022,72,7.2,0.0,0.7741935483870968,0.0,0.0,Benign
1772702910.877704,10,172.16.241.81,85,8.5,40,5,1.4784964381770118,54,5.4,0.0,0.6352941176470588,0.0,0.0,Benign
1772768069.9862258,10,14.238.122.109,1599,159.9,1,1,0.0,0,0.0,0.0,0.0006253908692933,0.0,0.0,Benign
1772766976.5453413,10,42.117.10.19,1585,158.5,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767553.6399288,10,42.119.208.15,3617,361.7,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768084.6152782,10,42.1.81.75,353,35.3,1,1,0.0,0,0.0,0.0,0.0028328611898017,0.0,0.0,Benign
1772703109.6486688,10,172.16.241.81,72,7.2,40,5,1.560668394852808,44,4.4,0.0,0.6111111111111112,0.0,0.0,Benign
1772768071.079801,10,14.238.122.109,3223,322.3,1,1,0.0,0,0.0,0.0,0.0003102699348433,0.0,0.0,Benign
1772767037.0790942,10,23.32.74.130,610,61.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767084.6400144,10,42.117.10.19,1813,181.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703978.6735876,10,172.16.241.81,93,9.3,39,5,1.3444771734601522,65,6.5,0.0,0.6989247311827957,0.0,0.0,Benign
1772702017.1108189,10,20.195.84.7,2,0.2,1,1,0.0,0,0.0,0.0,0.0,0.0,2.234476089477539,Benign
1772767947.2398326,10,172.16.241.161,216,21.6,9,2,0.1330396486106989,12,1.2,0.0,0.0555555555555555,0.0,1.17897629737854,Benign
1772702263.8209407,10,172.16.241.81,96,9.6,39,5,1.339479912009388,67,6.7,0.0,0.6979166666666666,0.0,0.0,Benign
1772768150.3965209,10,52.140.118.28,7,0.7,1,1,0.0,0,0.0,0.0,0.1428571428571428,0.0,0.0,Benign
1772702093.4941325,10,172.16.241.81,117,11.7,40,5,1.2348562097682827,88,8.8,0.0,0.7521367521367521,0.0,0.0,Benign
1772704496.2794583,10,172.16.241.81,164,16.4,88,6,1.6335741800472752,61,6.1,0.0,0.3719512195121951,0.0,0.0,Benign
1772767008.7503932,10,23.32.74.130,5078,507.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772702699.9972196,10,172.16.241.81,96,9.6,40,6,1.5785050898289683,69,6.9,0.0,0.71875,0.0,0.0,Benign
1772768172.0431137,10,172.16.241.161,961,96.1,2,1,0.0,35,3.5,0.0,0.036420395421436,0.0,0.0,Benign
1772702458.9686627,10,172.16.241.81,83,8.3,40,5,1.5634798139975372,49,4.9,0.0,0.5903614457831325,0.0,0.0,Benign
1772767506.2973228,10,42.119.208.80,2690,269.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703931.561574,10,172.16.241.81,81,8.1,44,5,1.3896144914591524,56,5.6,0.0,0.691358024691358,0.0,0.0,Benign
1772704163.2095428,10,172.16.241.81,77,7.7,43,5,1.433279188310821,52,5.2,0.0,0.6753246753246753,0.0,0.0,Benign
1772766850.078061,10,42.117.10.19,2266,226.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768069.4669757,10,14.238.122.109,968,96.8,1,1,0.0,0,0.0,0.0,0.0010330578512396,0.0,0.0,Benign
1772768165.5299077,10,52.107.14.55,850,85.0,1,1,0.0,0,0.0,0.0,0.04,0.0,0.0,Benign
1772767008.2738836,10,23.32.74.130,4636,463.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768169.516476,10,52.107.14.55,1929,192.9,1,1,0.0,0,0.0,0.0,0.0176257128045619,0.0,0.0,Benign
1772768166.6140304,10,52.107.14.55,1370,137.0,1,1,0.0,0,0.0,0.0,0.0248175182481751,0.0,0.0,Benign
1772768173.770359,10,52.107.14.55,2945,294.5,1,1,0.0,0,0.0,0.0,0.0115449915110356,0.0,0.0,Benign
1772703329.8941212,10,172.16.241.81,67,6.7,36,5,1.5909313069801727,42,4.2,0.0,0.6268656716417911,0.0,0.0,Benign
1772767946.7256756,10,52.107.14.55,38,3.8,1,1,0.0,0,0.0,0.0,0.2631578947368421,0.0,0.0,Benign
1772767246.3063002,10,172.16.241.169,128,12.8,16,2,0.4488644887230294,4,0.4,0.5,0.03125,0.0234375,3.81026873588562,Benign
1772767183.4329932,10,199.232.114.113,550,55.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767967.7888231,10,52.168.117.169,4,0.4,1,1,0.0,0,0.0,0.0,0.25,0.0,0.0,Benign
1772767233.053178,10,23.202.89.75,2387,238.7,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767039.4244878,10,23.202.89.75,3738,373.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772702177.325034,10,172.16.241.81,115,11.5,46,5,1.0552906403647346,90,9.0,0.0111111111111111,0.782608695652174,0.008695652173913,5.496572732925415,Benign
1772766863.95439,10,42.117.10.19,3899,389.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703897.242559,10,172.16.241.81,79,7.9,43,5,1.4713681714779434,49,4.9,0.0,0.620253164556962,0.0,0.0,Benign
1772703830.1506386,10,172.16.241.81,85,8.5,42,5,1.3409021391569862,57,5.7,0.0,0.6705882352941176,0.0,0.0,Benign
1772703077.068849,10,172.16.241.81,69,6.9,40,5,1.4739000765167762,46,4.6,0.0,0.6666666666666666,0.0,0.0,Benign
1772767574.451896,10,42.119.208.80,1763,176.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768173.3771296,10,172.16.241.161,1158,115.8,1,1,0.0,34,3.4,0.0,0.0293609671848013,0.0,0.0,Benign
1772768130.511057,10,49.213.95.182,1,0.1,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,Benign
1772703286.0242212,10,172.16.241.81,173,17.3,93,7,1.83613258512737,58,5.8,0.0,0.3352601156069364,0.0,0.0,Benign
1772767267.7890592,10,8.8.8.8,44,4.4,1,1,0.0,0,0.0,0.0,0.2272727272727272,0.0,0.8231132924556732,Benign
1772703852.2114973,10,172.16.241.81,73,7.3,27,5,1.6540073677215137,33,3.3,0.0,0.4520547945205479,0.0,0.0,Benign
1772704307.1602747,10,172.16.241.81,89,8.9,45,5,1.2551127103251456,66,6.6,0.0,0.7415730337078652,0.0,0.0,Benign
1772768172.2581365,10,52.107.14.55,2245,224.5,1,1,0.0,0,0.0,0.0,0.0151447661469933,0.0,0.0,Benign
1772702618.8842175,10,172.16.241.81,115,11.5,40,5,1.302466946294779,80,8.0,0.0,0.6956521739130435,0.0,0.0,Benign
1772768070.358094,10,172.16.241.161,893,89.3,10,1,0.0,4,0.4,0.0,0.0044792833146696,0.0,0.0,Benign
1772767334.6523602,10,172.16.241.161,1298,129.8,21,3,0.0181566373839816,3,0.3,0.3333333333333333,0.0023112480739599,0.0015408320493066,5.625129580497742,Benign
1772768069.5079162,10,14.238.122.109,1043,104.3,1,1,0.0,0,0.0,0.0,0.0009587727708533,0.0,0.0,Benign
1772704080.7149837,10,172.16.241.81,91,9.1,42,5,1.3401589985664877,64,6.4,0.0,0.7032967032967034,0.0,0.0,Benign
1772704050.993566,10,172.16.241.81,57,5.7,28,5,1.8384272109487672,25,2.5,0.0,0.4385964912280701,0.0,0.0,Benign
1772767058.4065597,10,23.202.89.74,692,69.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767272.0118592,10,172.16.241.169,687,68.7,21,2,0.4974082662342661,18,1.8,0.2222222222222222,0.0262008733624454,0.007278020378457,4.284203403874447,Benign
1772767427.0285563,10,172.16.241.161,821,82.1,22,4,0.0715126589988418,1,0.1,0.0,0.0012180267965895,0.0012180267965895,4.711036920547485,Benign
1772704085.978967,10,172.16.241.81,124,12.4,43,5,1.1374653785554314,95,9.5,0.0,0.7661290322580645,0.0,0.0,Benign
1772767034.9868112,10,142.250.198.163,16,1.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772702402.4868598,10,172.16.241.81,78,7.8,44,5,1.4925266554886654,50,5.0,0.0,0.6410256410256411,0.0,0.0,Benign
1772703212.1330233,10,172.16.241.81,81,8.1,44,5,1.500296584107944,51,5.1,0.0,0.6296296296296297,0.0,0.0,Benign
1772767184.359006,10,199.232.114.113,2851,285.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772702548.113186,10,172.16.241.81,73,7.3,36,5,1.2847986133233904,54,5.4,0.0,0.7397260273972602,0.0,0.0,Benign
1772767007.8540714,10,23.32.74.130,3092,309.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767214.0024552,10,23.202.89.75,545,54.5,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772702549.2360015,10,172.16.241.81,89,8.9,44,5,1.1933931762202503,68,6.8,0.0,0.7640449438202247,0.0,0.0,Benign
1772767136.3909807,10,172.16.241.169,623,62.3,28,2,0.2428806388749891,11,1.1,0.3636363636363636,0.0176565008025682,0.0112359550561797,4.059714983249533,Benign
1772704581.287608,10,172.16.241.81,82,8.2,43,5,1.4500470098469798,54,5.4,0.0,0.6585365853658537,0.0,0.0,Benign
1772767219.1105828,10,23.202.89.75,1283,128.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768071.1406133,10,14.238.122.109,3399,339.9,1,1,0.0,0,0.0,0.0,0.0002942041776993,0.0,0.0,Benign
1772767428.8775578,10,1.54.241.81,88,8.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703176.589455,10,172.16.241.81,77,7.7,39,6,1.7149654766015343,52,5.2,0.0,0.6753246753246753,0.0,0.0,Benign
1772767093.060271,10,23.202.89.75,7476,747.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767153.520413,10,23.202.89.75,622,62.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772704137.628636,10,172.16.241.81,88,8.8,41,5,1.4409503719599746,55,5.5,0.0,0.625,0.0,0.0,Benign
1772767041.0134935,10,42.117.10.19,618,61.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768180.8023634,10,172.16.241.161,676,67.6,8,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768061.4853778,10,172.16.241.161,72,7.2,6,1,0.0,1,0.1,0.0,0.0138888888888888,0.0,3.1152119636535645,Benign
1772704399.7538238,10,172.16.241.81,75,7.5,43,5,1.2619540965754503,56,5.6,0.0,0.7466666666666667,0.0,0.0,Benign
1772704492.762603,10,172.16.241.81,129,12.9,65,5,1.6665676318621987,42,4.2,0.0,0.3255813953488372,0.0,0.0,Benign
1772768220.0726943,10,172.16.241.161,37,3.7,7,2,0.3033748360864139,0,0.0,0.0,0.0,0.0,0.2902379035949707,Benign
1772767501.685632,10,42.119.208.80,1956,195.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768070.5395684,10,172.16.241.161,938,93.8,10,1,0.0,4,0.4,0.0,0.0042643923240938,0.0,0.0,Benign
1772767326.2020452,10,23.202.89.75,3639,363.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768070.9596615,10,172.16.241.161,969,96.9,10,1,0.0,4,0.4,0.0,0.0041279669762641,0.0,0.0,Benign
1772767244.3788729,10,23.202.89.75,4482,448.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703800.948032,10,172.16.241.81,94,9.4,45,5,1.358663941749068,55,5.5,0.0,0.5851063829787234,0.0,0.0,Benign
1772767465.5495346,10,42.119.208.80,3214,321.4,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768048.2662325,10,172.16.241.161,158,15.8,11,2,0.1357163790652656,3,0.3,0.0,0.0189873417721519,0.0,1.4655206203460691,Benign
1772704181.532842,10,172.16.241.81,72,7.2,40,5,1.560668394852808,44,4.4,0.0,0.6111111111111112,0.0,0.0,Benign
1772767229.8411376,10,23.40.40.136,12,1.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772704525.8166275,10,172.16.241.81,68,6.8,34,5,1.702780262095288,33,3.3,0.0,0.4852941176470588,0.0,0.0,Benign
1772704379.9212384,10,172.16.241.81,83,8.3,40,6,1.4062028562082365,61,6.1,0.0,0.7349397590361446,0.0,0.0,Benign
1772768110.5507028,10,172.16.241.161,38,3.8,5,1,0.0,0,0.0,0.0,0.0,0.0,0.3486342430114746,Benign
1772704477.56067,10,172.16.241.81,88,8.8,43,5,1.2025136046821292,67,6.7,0.0,0.7613636363636364,0.0,0.0,Benign
1772767955.2516496,10,14.225.216.133,81,8.1,1,1,0.0,0,0.0,0.0,0.0123456790123456,0.0,0.0,Benign
1772704426.2717514,10,172.16.241.81,62,6.2,40,5,1.4278680303707998,43,4.3,0.0,0.6935483870967742,0.0,0.0,Benign
1772767418.8287575,10,42.114.77.145,1424,142.4,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767184.5420904,10,172.16.241.161,635,63.5,18,1,0.0,0,0.0,0.0,0.0,0.0,6.404809355735779,Benign
1772767090.4227562,10,23.59.80.73,53,5.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767955.2322314,10,172.16.241.161,500,50.0,6,2,0.0376223603222784,14,1.4,0.0,0.028,0.0,0.0,Benign
1772702102.8976238,10,172.16.241.81,87,8.7,42,5,1.7117226756417556,51,5.1,0.0,0.5862068965517241,0.0,0.0,Benign
1772703122.8022614,10,172.16.241.81,77,7.7,42,5,1.278134394437843,57,5.7,0.0,0.7402597402597403,0.0,0.0,Benign
1772767101.2919118,10,42.117.10.19,85,8.5,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772703574.6381457,10,172.16.241.81,44,4.4,9,1,0.0,19,1.9,0.0,0.4318181818181818,0.0,1.6647138595581057,Benign
1772768164.6922326,10,172.16.241.161,165,16.5,9,1,0.0,15,1.5,0.0,0.0909090909090909,0.006060606060606,1.1330676873524983,Benign
1772768069.5147436,10,172.16.241.161,567,56.7,10,1,0.0,4,0.4,0.0,0.0070546737213403,0.0,0.0,Benign
1772764415.233582,10,172.16.241.161,272,27.2,28,2,0.9042214650210854,140,14.0,0.0428571428571428,0.5147058823529411,0.0294117647058823,3.7918290376663206,Benign
1772702053.7099855,10,172.16.241.81,117,11.7,43,5,1.0482279496375966,91,9.1,0.0219780219780219,0.7777777777777778,0.017094017094017,4.422447204589844,Benign
1772701973.676535,10,172.16.241.81,90,9.0,11,3,1.0869665387442833,6,0.6,0.0,0.0666666666666666,0.0,0.0,Benign
1772767232.5171509,10,23.202.89.75,1795,179.5,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767949.8185208,10,52.107.14.55,501,50.1,1,1,0.0,0,0.0,0.0,0.0259481037924151,0.0,0.0,Benign
1772702847.1724994,10,172.16.241.81,87,8.7,40,6,1.6991885871668495,57,5.7,0.0,0.6551724137931034,0.0,0.0,Benign
1772768069.9676113,10,14.238.122.109,1583,158.3,1,1,0.0,0,0.0,0.0,0.0006317119393556,0.0,0.0,Benign
1772767060.7170677,10,23.202.89.74,3133,313.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772768196.8780427,10,172.16.241.161,7,0.7,4,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Benign
1772767475.3977022,10,23.202.89.72,853,85.3,1,1,0.0,0,0.0,0.0,0.0011723329425556,0.0,0.0,Benign
1772703316.8335638,10,172.16.241.81,80,8.0,38,5,1.5738927193492829,46,4.6,0.0,0.575,0.0,0.0,Benign
1772703534.6731806,10,172.16.241.81,59,5.9,17,3,0.7360310599614004,16,1.6,0.125,0.2711864406779661,0.0338983050847457,3.833112359046936,Benign
