timestamp,window_size,src_ip,packet_count,packets_per_second,unique_dst_ips,unique_dst_ports,port_entropy,connection_attempts,connections_per_second,failed_connection_ratio,syn_ratio,rst_ratio,mean_flow_duration,Label
1772756807.1488264,10,172.16.241.169,628,62.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756618.2058258,10,172.16.241.169,198,19.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756645.7184498,10,172.16.241.169,654,65.4,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756750.7612407,10,172.16.241.169,657,65.7,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756656.0492375,10,172.16.241.169,628,62.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756760.3118448,10,172.16.241.169,649,64.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756690.185881,10,172.16.241.161,185,18.5,8,2,0.833999142831494,134,13.4,0.0074626865671641,0.7243243243243244,0.0054054054054054,7.397265434265137,UdpScan
1772756622.4931188,10,123.30.175.98,3,0.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0259994268417358,UdpScan
1772756626.5029886,10,172.16.241.169,683,68.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756654.6384988,10,172.16.241.161,100,10.0,10,2,0.8267463724926178,69,6.9,0.0144927536231884,0.69,0.01,1.6324834823608398,UdpScan
1772756765.172431,10,172.16.241.169,643,64.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756769.0974789,10,172.16.241.161,255,25.5,3,2,0.6361825847836153,1,0.1,0.0,0.0039215686274509,0.0039215686274509,1.897408962249756,UdpScan
1772756636.20687,10,172.16.241.169,676,67.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756805.0868828,10,172.16.241.169,636,63.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756751.6530433,10,172.16.241.169,659,65.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756761.766477,10,172.16.241.161,236,23.6,3,2,0.7202299383167918,2,0.2,0.5,0.0084745762711864,0.0042372881355932,9.216713905334473,UdpScan
1772756802.5422745,10,172.16.241.169,633,63.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756789.0145657,10,172.16.241.169,637,63.7,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756789.9858706,10,172.16.241.169,631,63.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756721.842867,10,172.16.241.161,258,25.8,5,3,0.831477222504022,147,14.7,0.0,0.5697674418604651,0.0,3.260262179374694,UdpScan
1772756628.1631348,10,172.16.241.169,701,70.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756797.8410878,10,172.16.241.169,639,63.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756623.885277,10,172.16.241.169,589,58.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756634.957261,10,172.16.241.161,124,12.4,9,2,0.9450667261866617,4,0.4,0.0,0.032258064516129,0.0080645161290322,5.011256853739421,UdpScan
1772756761.757479,10,172.16.241.161,92,9.2,3,2,0.9996590716691398,2,0.2,0.5,0.0217391304347826,0.0108695652173913,9.216713905334473,UdpScan
1772756758.7818213,10,172.16.241.169,651,65.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756731.0012343,10,172.16.241.161,169,16.9,5,3,1.0064918435750831,97,9.7,0.0,0.5739644970414202,0.0,5.6909640828768415,UdpScan
1772756815.3412025,10,172.16.241.169,592,59.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756799.7068148,10,172.16.241.169,639,63.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756641.672328,10,172.16.241.169,663,66.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756771.7458198,10,172.16.241.169,621,62.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756802.341776,10,172.16.241.169,634,63.4,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756797.675358,10,172.16.241.169,638,63.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756748.588014,10,172.16.241.169,579,57.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756805.7500317,10,172.16.241.169,633,63.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756623.706282,10,172.16.241.169,578,57.8,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756646.3523738,10,172.16.241.169,646,64.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756696.3917594,10,172.16.241.161,206,20.6,4,2,0.7482932859824889,136,13.6,0.0,0.6601941747572816,0.0,4.970549154281616,UdpScan
1772756761.7654774,10,172.16.241.161,206,20.6,3,2,0.7747817605858327,2,0.2,0.5,0.0097087378640776,0.0048543689320388,9.216713905334473,UdpScan
1772756651.560239,10,172.16.241.169,623,62.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756654.0811172,10,172.16.241.169,619,61.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756804.0799146,10,172.16.241.169,640,64.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756815.4633372,10,172.16.241.169,592,59.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756755.2091312,10,172.16.241.169,669,66.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
1772756623.3112922,10,172.16.241.169,549,54.9,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,UdpScan
