timestamp,window_size,packet_count,byte_count,packets_per_second,bytes_per_second,flow_duration,inter_arrival_mean,inter_arrival_variance,forward_ratio,syn_ratio,rst_ratio,src_ip,dst_ip,dst_port,protocol,direction
1772786997.6336734,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.246.83,10.0.57.74,7680,L4Protocol.TCP,1
1772786997.6336734,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.246.83,192.168.2.91,7680,L4Protocol.TCP,1
1772786998.647192,10,2,104,0.2,10.4,1.0135185718536377,1.0135185718536377,0.0,1.0,1.0,0.0,172.16.246.83,10.0.57.74,7680,L4Protocol.TCP,1
1772786998.647192,10,2,104,0.2,10.4,1.0135185718536377,1.0135185718536377,0.0,1.0,1.0,0.0,172.16.246.83,192.168.2.91,7680,L4Protocol.TCP,1
1772787000.6517715,10,3,156,0.3,15.6,3.0180981159210205,1.5090490579605103,0.49110092532262684,1.0,1.0,0.0,172.16.246.83,10.0.57.74,7680,L4Protocol.TCP,1
1772787000.6517715,10,3,156,0.3,15.6,3.0180981159210205,1.5090490579605103,0.49110092532262684,1.0,1.0,0.0,172.16.246.83,192.168.2.91,7680,L4Protocol.TCP,1
1772787001.4771135,10,1,41,0.1,4.1,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,52.98.37.2,443,L4Protocol.TCP,1
1772787004.6616447,10,4,208,0.4,20.8,7.027971267700195,2.3426570892333984,2.330257512069295,1.0,1.0,0.0,172.16.246.83,10.0.57.74,7680,L4Protocol.TCP,1
1772787004.6616447,10,4,208,0.4,20.8,7.027971267700195,2.3426570892333984,2.330257512069295,1.0,1.0,0.0,172.16.246.83,192.168.2.91,7680,L4Protocol.TCP,1
1772787009.3518746,10,1,41,0.1,4.1,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,150.171.27.11,443,L4Protocol.TCP,1
1772787012.6668932,10,2,104,0.2,10.4,8.005248546600342,8.005248546600342,0.0,1.0,1.0,0.0,172.16.246.83,10.0.57.74,7680,L4Protocol.TCP,1
1772787012.6668932,10,2,104,0.2,10.4,8.005248546600342,8.005248546600342,0.0,1.0,1.0,0.0,172.16.246.83,192.168.2.91,7680,L4Protocol.TCP,1
1772787023.3981545,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787024.4057004,10,2,104,0.2,10.4,1.0075459480285645,1.0075459480285645,0.0,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787026.0057538,10,1,41,0.1,4.1,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,108.157.14.51,443,L4Protocol.TCP,1
1772787026.4094954,10,3,156,0.3,15.6,3.011340856552124,1.505670428276062,0.49625599564367917,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787029.3538995,10,1,41,0.1,4.1,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,52.97.96.194,443,L4Protocol.TCP,1
1772787030.4242542,10,4,208,0.4,20.8,7.026099681854248,2.3420332272847495,2.346636192518777,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787037.6520019,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,172.16.246.83,10.0.60.168,7680,L4Protocol.TCP,1
1772787038.43062,10,2,104,0.2,10.4,8.006365776062012,8.006365776062012,0.0,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787038.6640983,10,2,104,0.2,10.4,1.0120964050292969,1.0120964050292969,0.0,1.0,1.0,0.0,172.16.246.83,10.0.60.168,7680,L4Protocol.TCP,1
1772787040.3863137,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,40.126.16.163,443,L4Protocol.TCP,1
1772787040.3863137,10,1,40,0.1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,40.126.16.165,443,L4Protocol.TCP,1
1772787040.6675618,10,3,156,0.3,15.6,3.0155599117279053,1.5077799558639526,0.4914043651361055,1.0,1.0,0.0,172.16.246.83,10.0.60.168,7680,L4Protocol.TCP,1
1772787041.3034077,10,2,80,0.2,8.0,0.9170939922332764,0.9170939922332764,0.0,1.0,0.0,0.0,172.16.246.83,40.126.16.163,443,L4Protocol.TCP,1
1772787041.5209,10,2,80,0.2,8.0,1.1345863342285156,1.1345863342285156,0.0,1.0,0.0,0.0,172.16.246.83,40.126.16.165,443,L4Protocol.TCP,1
1772787043.0054255,10,3,120,0.3,12.0,2.6191117763519287,1.3095558881759644,0.3080526795338585,1.0,0.0,0.0,172.16.246.83,40.126.16.163,443,L4Protocol.TCP,1
1772787043.6575775,10,3,120,0.3,12.0,3.271263837814331,1.6356319189071655,0.5020933558519403,1.0,0.0,0.0,172.16.246.83,40.126.16.165,443,L4Protocol.TCP,1
1772787044.4473827,10,2,104,0.2,10.4,6.016762733459473,6.016762733459473,0.0,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787044.6686757,10,4,208,0.4,20.8,7.016673803329468,2.3388912677764893,2.317940220934986,1.0,1.0,0.0,172.16.246.83,10.0.60.168,7680,L4Protocol.TCP,1
1772787045.458146,10,3,156,0.3,15.6,7.027526140213013,3.5137630701065063,12.530014629490125,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787046.419299,10,4,160,0.4,16.0,6.032985210418701,2.010995070139567,1.6300771177482338,1.0,0.0,0.0,172.16.246.83,40.126.16.163,443,L4Protocol.TCP,1
1772787046.4814498,10,1,41,0.1,4.1,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,52.98.37.2,443,L4Protocol.TCP,1
1772787047.4628599,10,4,208,0.4,20.8,9.03223991394043,3.010746637980143,7.024083907712471,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787047.926303,10,4,160,0.4,16.0,7.539989233016968,2.5133297443389893,2.5621070962292265,1.0,0.0,0.0,172.16.246.83,40.126.16.165,443,L4Protocol.TCP,1
1772787049.660264,10,1,68,0.1,6.8,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,8.8.8.8,53,L4Protocol.UDP,1
1772787050.6689637,10,1,68,0.1,6.8,0.0,0.0,0.0,1.0,0.0,0.0,172.16.246.83,8.8.4.4,53,L4Protocol.UDP,1
1772787051.4742599,10,4,208,0.4,20.8,7.026877164840698,2.342292388280233,2.3364244584696126,1.0,1.0,0.0,172.16.246.83,13.248.188.196,443,L4Protocol.TCP,1
1772787052.6739507,10,2,104,0.2,10.4,8.005275011062622,8.005275011062622,0.0,1.0,1.0,0.0,172.16.246.83,10.0.60.168,7680,L4Protocol.TCP,1
1772787052.6739507,10,2,136,0.2,13.6,3.0136866569519043,3.0136866569519043,0.0,1.0,0.0,0.0,172.16.246.83,8.8.8.8,53,L4Protocol.UDP,1
1772787052.6749277,10,2,136,0.2,13.6,2.0059640407562256,2.0059640407562256,0.0,1.0,0.0,0.0,172.16.246.83,8.8.4.4,53,L4Protocol.UDP,1
1772787053.2341344,10,2,80,0.2,8.0,6.814835548400879,6.814835548400879,0.0,1.0,0.0,0.0,172.16.246.83,40.126.16.163,443,L4Protocol.TCP,1
