timestamp,window_size,src_ip,packet_count,packets_per_second,unique_dst_ips,unique_dst_ports,port_entropy,connection_attempts,connections_per_second,failed_connection_ratio,syn_ratio,rst_ratio,mean_flow_duration
1772786997.6336734,10,172.16.246.83,1,0.1,1,1,0.0,1,0.1,0.0,1.0,0.0,0.0
1772786997.6336734,10,172.16.246.83,2,0.2,2,1,0.0,2,0.2,0.0,1.0,0.0,0.0
1772786998.647192,10,172.16.246.83,3,0.3,2,1,0.0,3,0.3,0.0,1.0,0.0,0.0
1772786998.647192,10,172.16.246.83,4,0.4,2,1,0.0,4,0.4,0.0,1.0,0.0,0.0
1772787000.6517715,10,172.16.246.83,5,0.5,2,1,0.0,5,0.5,0.0,1.0,0.0,0.0
1772787000.6517715,10,172.16.246.83,6,0.6,2,1,0.0,6,0.6,0.0,1.0,0.0,0.0
1772787001.4771135,10,172.16.246.83,7,0.7,3,2,0.5916727785823275,6,0.6,0.0,0.8571428571428571,0.0,0.0
1772787004.6616447,10,172.16.246.83,8,0.8,3,2,0.5435644431995964,7,0.7,0.0,0.875,0.0,0.0
1772787004.6616447,10,172.16.246.83,9,0.9,3,2,0.5032583347756457,8,0.8,0.0,0.8888888888888888,0.0,0.0
1772787009.3518746,10,172.16.246.83,6,0.6,4,2,0.9182958340544896,4,0.4,0.0,0.6666666666666666,0.0,0.0
1772787012.6668932,10,172.16.246.83,4,0.4,3,2,0.8112781244591328,3,0.3,0.0,0.75,0.0,0.0
1772787012.6668932,10,172.16.246.83,5,0.5,3,2,0.7219280948873623,4,0.4,0.0,0.8,0.0,0.0
1772787023.3981545,10,172.16.246.83,1,0.1,1,1,0.0,1,0.1,0.0,1.0,0.0,0.0
1772787024.4057004,10,172.16.246.83,2,0.2,1,1,0.0,2,0.2,0.0,1.0,0.0,0.0
1772787026.0057538,10,172.16.246.83,3,0.3,2,1,0.0,2,0.2,0.0,0.6666666666666666,0.0,0.0
1772787026.4094954,10,172.16.246.83,4,0.4,2,1,0.0,3,0.3,0.0,0.75,0.0,0.0
1772787029.3538995,10,172.16.246.83,5,0.5,3,1,0.0,3,0.3,0.0,0.6,0.0,0.0
