timestamp,window_size,src_ip,packet_count,packets_per_second,unique_dst_ips,unique_dst_ports,port_entropy,connection_attempts,connections_per_second,failed_connection_ratio,syn_ratio,rst_ratio,mean_flow_duration,Label
1771755094,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755101,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755158,10,4.213.25.242,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755136,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755077,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755154,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755089,10,192.168.1.122,2,0.2,1,1,0,2,0.2,0,1,0,0,BruteForce
1771755066,10,192.168.1.78,6,0.6,3,3,1.251629167,1,0.1,0,0.166666667,0,0,BruteForce
1771755163,10,172.64.148.235,2,0.2,1,1,0,0,0,0,0,0,0,BruteForce
1771755065,10,192.168.1.78,2,0.2,2,2,1,0,0,0,0,0,0,BruteForce
1771755103,10,172.64.148.235,2,0.2,1,1,0,0,0,0,0,0,0,BruteForce
1771755063,10,172.64.148.235,2,0.2,1,1,0,0,0,0,0,0,0,BruteForce
1771755083,10,172.64.148.235,2,0.2,1,1,0,0,0,0,0,0,0,BruteForce
1771755113,10,192.168.1.165,9,0.9,1,1,0,9,0.9,0,1,0,0,BruteForce
1771755066,10,192.168.1.78,9,0.9,3,3,0.986426729,1,0.1,0,0.111111111,0,0,BruteForce
1771755071,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755118,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755060,10,192.168.1.165,3,0.3,1,1,0,3,0.3,0,1,0,0,BruteForce
1771755098,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755123,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755133,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755085,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755092,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755116,10,192.168.1.165,9,0.9,1,1,0,9,0.9,0,1,0,0,BruteForce
1771755059,10,192.168.1.165,1,0.1,1,1,0,1,0.1,0,1,0,0,BruteForce
1771755100,10,192.168.1.78,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755120,10,192.168.1.165,9,0.9,1,1,0,9,0.9,0,1,0,0,BruteForce
1771755106,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755066,10,192.168.1.78,12,1.2,3,3,0.816689088,1,0.1,0,0.083333333,0,0,BruteForce
1771755063,10,192.168.1.78,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755123,10,172.64.148.235,2,0.2,1,1,0,0,0,0,0,0,0,BruteForce
1771755127,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755067,10,72.145.35.113,8,0.8,1,1,0,0,0,0,0.125,0,0,BruteForce
1771755067,10,192.168.1.78,14,1.4,3,3,0.734529921,1,0.1,0,0.071428571,0,0,BruteForce
1771755109,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755066,10,192.168.1.78,4,0.4,3,3,1.5,1,0.1,0,0.25,0,0,BruteForce
1771755123,10,172.64.148.235,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755141,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755159,10,172.188.155.25,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755122,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755160,10,172.188.155.25,2,0.2,1,1,0,0,0,0,0,0,0,BruteForce
1771755144,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755162,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755103,10,172.64.148.235,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755108,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755074,10,192.168.1.122,1,0.1,1,1,0,1,0.1,0,1,0,0,BruteForce
1771755108,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755145,10,192.168.1.78,3,0.3,3,3,1.584962501,0,0,0,0,0,0,BruteForce
1771755067,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755159,10,192.168.1.78,3,0.3,2,2,0.918295834,0,0,0,0,0,0,BruteForce
1771755112,10,192.168.1.165,9,0.9,1,1,0,9,0.9,0,1,0,0,BruteForce
1771755073,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755111,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755103,10,192.168.1.78,2,0.2,2,2,1,0,0,0,0,0,0,BruteForce
1771755080,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755105,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755143,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755070,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755158,10,192.168.1.78,2,0.2,1,1,0,0,0,0,0,0,0,BruteForce
1771755083,10,192.168.1.78,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755066,10,192.168.1.78,11,1.1,3,3,0.865856617,1,0.1,0,0.090909091,0,0,BruteForce
1771755129,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755066,10,72.145.35.113,2,0.2,1,1,0,0,0,0,0.5,0,0,BruteForce
1771755115,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755065,10,192.168.1.78,3,0.3,3,3,1.584962501,1,0.1,0,0.333333333,0,0,BruteForce
1771755076,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755066,10,192.168.1.78,5,0.5,3,3,1.370950594,1,0.1,0,0.2,0,0,BruteForce
1771755134,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755147,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755137,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755158,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755140,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755143,10,192.168.1.78,2,0.2,2,2,1,0,0,0,0,0,0,BruteForce
1771755081,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755151,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755143,10,172.64.148.235,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755129,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755066,10,192.168.1.78,8,0.8,3,3,1.061278124,1,0.1,0,0.125,0,0,BruteForce
1771755148,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755157,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755066,10,72.145.35.113,5,0.5,1,1,0,0,0,0,0.2,0,0,BruteForce
1771755143,10,172.64.148.235,2,0.2,1,1,0,0,0,0,0,0,0,BruteForce
1771755130,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755158,10,192.168.1.78,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755161,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755066,10,72.145.35.113,7,0.7,1,1,0,0,0,0,0.142857143,0,0,BruteForce
1771755157,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755075,10,192.168.1.122,2,0.2,1,1,0,2,0.2,0,1,0,0,BruteForce
1771755136,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755087,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755087,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755064,10,192.168.1.165,5,0.5,1,1,0,5,0.5,0,1,0,0,BruteForce
1771755066,10,192.168.1.78,10,1,3,3,0.921928095,1,0.1,0,0.1,0,0,BruteForce
1771755099,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755081,10,192.168.1.122,4,0.4,1,1,0,4,0.4,0,1,0,0,BruteForce
1771755066,10,72.145.35.113,3,0.3,1,1,0,0,0,0,0.333333333,0,0,BruteForce
1771755066,10,72.145.35.113,1,0.1,1,1,0,0,0,0,1,0,0,BruteForce
1771755063,10,192.168.1.165,4,0.4,1,1,0,4,0.4,0,1,0,0,BruteForce
1771755115,10,192.168.1.165,9,0.9,1,1,0,9,0.9,0,1,0,0,BruteForce
1771755088,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755066,10,72.145.35.113,4,0.4,1,1,0,0,0,0,0.25,0,0,BruteForce
1771755066,10,72.145.35.113,6,0.6,1,1,0,0,0,0,0.166666667,0,0,BruteForce
1771755104,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755078,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755155,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755094,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755100,10,172.188.155.25,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755083,10,172.64.148.235,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755095,10,192.168.1.165,8,0.8,1,1,0,8,0.8,0,1,0,0,BruteForce
1771755135,10,192.168.1.78,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755123,10,192.168.1.78,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755066,10,192.168.1.78,13,1.3,3,3,0.773228349,1,0.1,0,0.076923077,0,0,BruteForce
1771755059,10,192.168.1.165,2,0.2,1,1,0,2,0.2,0,1,0,0,BruteForce
1771755163,10,192.168.1.78,4,0.4,3,3,1.5,0,0,0,0,0,0,BruteForce
1771755066,10,192.168.1.78,7,0.7,3,3,1.148834854,1,0.1,0,0.142857143,0,0,BruteForce
1771755066,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755119,10,192.168.1.165,9,0.9,1,1,0,9,0.9,0,1,0,0,BruteForce
1771755145,10,172.188.155.25,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755091,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755102,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755163,10,172.64.148.235,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755153,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755063,10,172.64.148.235,1,0.1,1,1,0,0,0,0,0,0,0,BruteForce
1771755126,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755150,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771755077,10,192.168.1.122,3,0.3,1,1,0,3,0.3,0,1,0,0,BruteForce
1771755084,10,192.168.1.165,7,0.7,1,1,0,7,0.7,0,1,0,0,BruteForce
1771755074,10,192.168.1.165,6,0.6,1,1,0,6,0.6,0,1,0,0,BruteForce
1771752120,10,192.168.1.78,12,1.2,3,4,1.418295834,2,0.2,0,0.166666667,0,0,PortScan
1771752457,10,192.168.1.165,33,3.3,1,33,5.044394119,33,3.3,0,1,0,0,PortScan
1771751800,10,192.168.1.78,52,5.2,7,10,2.629125503,4,0.4,0,0.076923077,0,0,PortScan
1771751800,10,172.188.155.25,11,1.1,1,1,0,0,0,0,0.090909091,0,0,PortScan
1771752220,10,192.168.1.78,4,0.4,3,3,1.5,0,0,0,0,0,0,PortScan
1771752066,10,192.168.1.165,35,3.5,1,34,5.07214016,35,3.5,0,1,0,0,PortScan
