timestamp,window_size,packet_count,byte_count,packets_per_second,bytes_per_second,flow_duration,inter_arrival_mean,inter_arrival_variance,forward_ratio,syn_ratio,rst_ratio,src_ip,dst_ip,dst_port,protocol,direction,Label
1771752527.159693,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,2405,L4Protocol.TCP,-1,PortScan
1771752212.596159,10,2,104,0.2,10.4,0.0322630405426025,0.0322630405426025,0.0,1.0,0.0,0.0,172.64.148.235,192.168.1.78,2084,L4Protocol.TCP,-1,PortScan
1771751832.563524,10,1,68,0.1,6.8,0.0,0.0,0.0,1.0,0.0,0.0,192.168.1.78,172.64.148.235,2084,L4Protocol.TCP,1,PortScan
1771752482.115018,10,2,92,0.2,9.2,0.011016845703125,0.011016845703125,0.0,1.0,0.5,0.0,13.227.227.49,192.168.1.78,11463,L4Protocol.TCP,-1,PortScan
1771752565.111199,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,2527,L4Protocol.TCP,-1,PortScan
1771752452.564675,10,1,68,0.1,6.8,0.0,0.0,0.0,1.0,0.0,0.0,192.168.1.78,172.64.148.235,2084,L4Protocol.TCP,1,PortScan
1771751880.290307,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,327,L4Protocol.TCP,-1,PortScan
1771752068.633942,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,932,L4Protocol.TCP,-1,PortScan
1771752057.744749,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,897,L4Protocol.TCP,-1,PortScan
1771752096.637808,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,1022,L4Protocol.TCP,-1,PortScan
1771752304.256997,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,1689,L4Protocol.TCP,-1,PortScan
1771752641.325596,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,2772,L4Protocol.TCP,-1,PortScan
1771752168.861564,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,1254,L4Protocol.TCP,-1,PortScan
1771752171.037996,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,1261,L4Protocol.TCP,-1,PortScan
1771751821.150887,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,137,L4Protocol.TCP,-1,PortScan
1771752602.310247,10,4,3076,0.4,307.6,0.0461330413818359,0.0153776804606119,0.000709419169046,1.0,0.25,0.0,18.142.3.248,192.168.1.78,17123,L4Protocol.TCP,-1,PortScan
1771752067.254962,10,3,156,0.3,15.6,3.008897066116333,1.5044485330581665,0.4979348094221052,1.0,1.0,0.0,192.168.1.165,192.168.1.78,7680,L4Protocol.TCP,-1,PortScan
1771752345.039751,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,1820,L4Protocol.TCP,-1,PortScan
1771752245.405171,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,1500,L4Protocol.TCP,-1,PortScan
1771752524.977781,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,2398,L4Protocol.TCP,-1,PortScan
1771752408.554379,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,2024,L4Protocol.TCP,-1,PortScan
1771752371.189137,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,1904,L4Protocol.TCP,-1,PortScan
1771752025.671464,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,794,L4Protocol.TCP,-1,PortScan
1771752564.663994,10,17,17767,1.7,1776.7,0.4582610130310058,0.0286413133144378,0.0035577729025201,1.0,0.0588235294117647,0.0,20.190.144.163,192.168.1.78,17122,L4Protocol.TCP,-1,PortScan
1771751812.563172,10,1,64,0.1,6.4,0.0,0.0,0.0,1.0,0.0,0.0,172.64.148.235,192.168.1.78,2084,L4Protocol.TCP,-1,PortScan
1771752485.750291,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,2272,L4Protocol.TCP,-1,PortScan
1771751821.773331,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,139,L4Protocol.TCP,-1,PortScan
1771751852.563488,10,1,68,0.1,6.8,0.0,0.0,0.0,1.0,0.0,0.0,192.168.1.78,172.64.148.235,2084,L4Protocol.TCP,1,PortScan
1771751842.647233,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,206,L4Protocol.TCP,-1,PortScan
1771752450.581552,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,2159,L4Protocol.TCP,-1,PortScan
1771752482.126033,10,8,1311,0.8,131.1,0.0307590961456298,0.0043941565922328,1.7263718913931197e-05,1.0,0.125,0.0,192.168.1.78,13.227.227.49,11463,L4Protocol.TCP,1,PortScan
1771752470.1912,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,2222,L4Protocol.TCP,-1,PortScan
1771751791.885827,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,43,L4Protocol.TCP,-1,PortScan
1771751976.462129,10,1,52,0.1,5.2,0.0,0.0,0.0,1.0,1.0,0.0,192.168.1.165,192.168.1.78,636,L4Protocol.TCP,-1,PortScan
